cuestionario;factor;zona;campo;genero;filtro_a;p1edad;edadr;filtro_b;filtro_c;voluntad;p2;p2_1;p2_1_1;p2_2;p2_2_1;p3;p4;p5;p6;p7;p7_1;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_3;p7_3_1;p7_3_2;p8;p9estrato;p10;p11;p11_1;p12;p12_1;p12_2;p13;p14;p15;p15_1;p16;p16_1;p17;p17_v2_1;p17_v2_2;p17_v2_3;p17_v3;p17_v3_otro;p17_v4;p17_v5;p17_v6;p17_v7;p17_v7_1;p18;p18_p1;p18_p2;p18_p3;p18_p4;p18_c1;p19comuna;p20;p20_1;p20_1_otro;p21;p22;p23;p23_1;p23_2;p24;p25;p25_1;p25_2;p25_3;p25_4;p26;p27;p27_1;p27_2;p27_3;p27_4;p27_5;p27_6;p27_7;p27_8;p27_9;p27_10;p27_otro;p28p28_1;p28p28_2;p28p28_3;p28p28_4;p28p28_5;p28p28_6;p28p28_7;p28p28_8;p28p28_9;p29;p29_otro;p30;p30_otro;p31;p32;p33;p33_otro;p34;p34_otro;p35;p35_otro;p36;p37;p38p38_1;p38p38_2;p38p38_3;p38p38_4;p38p38_5;p38p38_6;p38p38_7;p38p38_99;p38_99_otro;p39;p39_1;p39_otro;p39_1_2;p39_1_1;p39_1_otro;p39_2;p40;p41;p47latitude;p47longitude;p47altitude;p47accuracy
11;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;21;18 - 24 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Secundaria completa;No;Estudiar;;;;;;;De lunes a viernes;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Menos de 100 mil pesos;Si;Una mujer de la familia que vive con usted;Dificultad temporal para moverse;;;No;No;0;;2;1;Moto 4T;;125 cc;;Gasolina corriente;;2014;Cali;Acompañante (pasajero o parrilero);Algunas veces;2;40;;;;;;Comuna 21;Cali;Comuna 22;;Uno;Más de 12 km;Ir a estudiar;;;Muy Satisfecho;El tiempo de viaje;Restricciones de circulación (Ejemplo: pico y placa);;;;Las condiciones de incomodidad;Congestión de tráfico;;;;;;;;;;;;4;Muy importante;4;Muy importante;4;Muy importante;Muy importante;4;4;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Bajo;Camión liviano;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;4;No;Si;No;Si;Si;No;No;No;;Entre el paradero y la casa;;;Cambió de lugar (por ejemplo, caminó hacía otro paradero, o se cambio de puesto en el bus);;;No;Mujer;Si;34.361.067;-764.706.882;978.2;8.233
12;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;55;55 - 64 años;No;Si;Si;Si;Valle;Restrepo;;;Ninguna de las anteriores;Si;Secundaria incompleta;No;Es pensionado(a);;;;;;;;;;Con su pareja, sus hijos y otros familiares;Estrato 2;No sabe/no responde;No;;Ninguna dificultad;;;Sí, auto;Si, auto;2;2;1;1;Automóvil;Entre 1000 y 1499 cc;;;Gasolina corriente;;Modelos anteriores a 2005;Cali;Conductor;Algunas veces;3;40;;;;;;Comuna 14;Cali;Comuna 17;;No salgo del hogar con frecuencia;Entre 1 y 3 km;A realizar compras;;;Muy Satisfecho;La percepción de seguridad;;;;;El tiempo de espera;Tiempos de viaje largos o inciertos;;;;;;;;;;;;3;3;Muy importante;3;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Nivel de siniestralidad vial;;Los vehículos que circulan en la ciudad;Alto;Automóvil;;Van/Camioneta con platón;;Inseguridad;;Muy importante;Muy importante;No;No;No;No;Si;No;Si;No;;Mientras caminaba;Entre el paradero y la casa;;Avisó a alguna autoridad como la policia;;;Si;Hombre;No;3.432.634;-764.781.589;979.5;13.277
13;5.176.076.781;Urbana Oriente;Presencial en hogares;Masculino;Si;26;25 - 34 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a viernes;;;;;;;;Con su pareja;Estrato 1;Menos de 100 mil pesos;No;;Dificultad temporal para moverse;Dificultad permanente para moverse (por ejemplo utiliza silla de ruedas, muleta, caminadores);;Sí, motocicleta;Si, motocicleta;3;2;3;2;Van/Camioneta con platón;Menos de 1000 cc;;;Gasolina corriente;;2025;Cali;Conductor;Nunca;;30;;;;;;Comuna 21;Cali;Otros;Centro;Dos;Más de 12 km;A realizar compras;;;Totalmente satisfecho;La comodidad (confort);;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;Tiempos de viaje largos o inciertos;Ser víctima de robo o atraco;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;2;Muy importante;Nada Importante;3;4;Bicitaxi con motor;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Automóvil;;Automóvil;;Inseguridad;;Muy importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.355.185;-76.470.701;979.5;12.368
14;5.660.793.001;Urbana Oriente;Presencial en hogares;Femenino;Si;72;65 - 80 años;No;Si;Si;Si;Valle;Cerrito;;;Ninguna de las anteriores;Si;Secundaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 1;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;No;No;0;;0;;Transporte público (MIO);;;;;;;;;;;;10;60;20;5;;Comuna 14;Otro municipio;Comuna 6;;No salgo del hogar con frecuencia;Menos de 1 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Nada Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El tiempo de espera;Ser víctima de robo o atraco;;;;;;;;;;;;3;Muy importante;2;3;Muy importante;Muy importante;Nada Importante;Muy importante;Muy importante;Automóvil en plataforma (Ejemplo:Uber);;Costos asociados;;Uso de aerosoles y productos químicos;Muy alto;Mio Cable;;Van/Camioneta con platón;;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;Si;Mujer;No;34.323.018;-76.477.865;9.793.999.634;4.733
15;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;54;45 - 54 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Secundaria completa;Si;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a domingo;;;;;;;;Con su pareja;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;1;2;1;2;Moto 4T;;125 cc;;Gasolina extra;;2010;Otro municipio;Conductor;Siempre;1;60;;;;;;Comuna 21;Cali;Otros;Todas las comunas;Tres;Más de 12 km;Ir a trabajar;;;Totalmente satisfecho;La comodidad (confort);;;;;Nada me disgusta;Otro ¿Cuál?;;;;;;;;;;;Ninguno;Nada Importante;Nada Importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;Muy importante;Nada Importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Mio Cable;;Guala o pirata;;Inseguridad;;Muy importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;3.435.071;-764.710.199;9.790.999.756;3.86
16;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;63;55 - 64 años;No;Si;Si;Si;Nariño;Barbacoa;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Secundaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 2;Entre 100 y 300 mil pesos;No;;Dificultad para ver, aún utilizando lentes;;;No;No;0;;1;1;Transporte público (MIO);;;;;;;;;;;;5;60;45;20;;Comuna 14;Cali;Comuna 3;;Dos;Entre 8 y 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Nada Satisfecho;Otro;La autonomía o control sobre el viaje;;;;El tiempo de espera;Exposición a condiciones climáticas desfavorables (lluvia o calor);Tiempos de viaje largos o inciertos;Multitud de personas;;;;;;;;;;Nada Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Transporte público (MIO);;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Camión liviano;;Camión pesado;;Falta de información;;3;3;No;No;No;No;Si;No;Si;No;;Mientras caminaba;;;Avisó a alguna autoridad como la policia;;;No;Mujer;No;34.318.101;-764.777.261;0;699.999
17;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;60;55 - 64 años;No;Si;Si;Si;Huila;Gigante;;;Ninguna de las anteriores;Si;Secundaria completa;No;Está desempleado;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 2;Menos de 100 mil pesos;Si;Usted;Dificultad para ver, aún utilizando lentes;;;No;No;0;;0;;Taxi;;;;;;;;;;;30;;;;;;Comuna 21;Cali;Comuna 3;;Uno;Más de 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Muy Satisfecho;La distancia que debe recorrer;;;;;El costo de compra;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;No hay cobertura del modo de transporte;;Los vehículos que circulan en la ciudad;Alto;Campero/ Camioneta (SUV);;Campero/ Camioneta (SUV);;Inseguridad;;4;4;No;No;No;No;No;No;No;No;;;;;;;;Si;Mujer;No;34.355.207;-764.718.755;9.830.428.467;13.644
18;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;40;35 - 44 años;No;Si;Si;Si;Chocó;Quibdó;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Universitario;Si;Trabajar;Empleado en empresa, gobierno u organización;De lunes a viernes;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Entre 300 mil y 500 mil pesos;Si;Usted;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;0;;2;3;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;2024;Cali;Conductor;Algunas veces;1;50;;;;;;Comuna 14;Cali;Comuna 22;;Uno;Más de 12 km;Ir a trabajar;;;Totalmente satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);El tiempo de viaje;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Tiempos de viaje largos o inciertos;Congestión de tráfico;;;;;;;;;;;Muy importante;Muy importante;4;Muy importante;3;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Vertederos (basureros) y rellenos sanitarios;Moderado;Automóvil;;Campero/ Camioneta (SUV);;Condiciones climáticas;;Nada Importante;Nada Importante;No;Si;No;Si;Si;No;No;No;;En los paraderos o estaciones;;;Tomó la decisión de no volver a usar ese modo de transporte;;;No;Mujer;No;3.432.019;-764.780.214;9.793.999.634;4.804
19;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;50;45 - 54 años;No;Si;Si;Si;Nariño;Olaya Herrera;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Secundaria completa;Si;Trabajar;Empleado(a) doméstico;Lunes;Martes;Miércoles;;;;;;Con sus hijos y otros familiares;Estrato 2;Entre 100 y 300 mil pesos;No;;Dificultad temporal para moverse;;;No;No;0;;0;;Transporte público (MIO);;;;;;;;;;;;5;5;120;10;;Comuna 21;Cali;Otros;Barrio Guayaquil;Dos;Más de 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Satisfecho;La comodidad (confort);;;;;Las condiciones de incomodidad;Congestión de tráfico;Otro ¿Cuál?;;;;;;;;;;Es lo que hay;Muy importante;Muy importante;4;4;Muy importante;2;Nada Importante;4;Muy importante;Taxi;;Costos asociados;;Vertederos (basureros) y rellenos sanitarios;Moderado;Mio Cable;;Guala o pirata;;Otro. ¿Cuál?;Siniestros viales;Muy importante;Muy importante;No;Si;No;No;No;No;No;No;;Entre el paradero y la casa;;;No tomó ninguna acción;;;No;Mujer;No;34.355.724;-764.718.962;9.795.999.756;4.23
20;5.660.793.001;Urbana Oriente;Presencial en hogares;Femenino;Si;56;55 - 64 años;No;Si;Si;Si;Valle;El Cairo;;;Ninguna de las anteriores;Si;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 1;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;2;2;1;1;Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver);;;;;;;;;;;30;;;;;;Comuna 14;Cali;Comuna 19;;Dos;Entre 8 y 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Totalmente satisfecho;La comodidad (confort);;;;;El nivel de emisiones (contaminación);Ser víctima de robo o atraco;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;Muy importante;4;Muy importante;Muy importante;2;Nada Importante;Nada Importante;Muy importante;3;Automóvil;;Es el medio de transporte que utiliza;;Empresas manufactureras;Alto;Automóvil;;Campero/ Camioneta (SUV);;Falta de infraestructura (andenes, ciclorutas, etc.);;2;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;Si;Mujer;No;34.319.835;-764.792.333;9.797.999.878;11.779
