cuestionario;factor;campo;genero;filtro_a;p1edad;edadr;filtro_b;filtro_c;voluntad;p2;p2_1;p2_1_1;p2_2;p2_2_1;p3;p4;p5;p6;p7;p7_1;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_2_5;p7_2_6;p7_3;p7_3_1;p7_3_2;p7_3_3;p7_3_4;p8;p9estrato;p10;p11;p11_1;p12;p12_1;p13;p14;p15;p15_1;p16;p16_1;p17;p17_v2_1;p17_v2_2;p17_v2_3;p17_v3;p17_v3_otro;p17_v4;p17_v5;p17_v6;p17_v7;p17_v7_1;p18;p18_p1;p18_p2;p18_p3;p18_p4;p18_c1;p19_1;p19comuna;p20;p20_1;p20_1_otro;p21;p22;p23;p23_1;p23_1_1;p23_2;p23_2_1;p23_2_2;p23_2_3;p24;p25;p25_1;p26;p27;p27_1;p27_otro;p28p28_1;p28p28_2;p28p28_3;p28p28_4;p28p28_5;p28p28_6;p28p28_7;p28p28_8;p28p28_9;p29;p29_otro;p30;p30_otro;p31;p32;p33;p33_otro;p34;p34_otro;p35;p35_otro;p36;p37;p38p38_1;p38p38_2;p38p38_3;p38p38_4;p38p38_5;p38p38_6;p38p38_7;p38p38_99;p38_99_otro;p39;p39_1;p39_otro;p39_1_2;p39_1_1;p39_1_otro;p39_2;p40;p41;p47latitude;p47longitude;p47altitude;p47accuracy
11;5.013.326.201.142.850;Presencial en hogares;Femenino;Si;27;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Técnico profesional;Si;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;;;;;Sola(o);Estrato 3;Menos de 100 mil pesos;Si;Usted;Ninguna dificultad;;Sí, motocicleta;Si de auto y motocicleta;0;;1;1;Moto 2T;;Entre 150 cc y 250 cc;;Gasolina corriente;;2025;Otro municipio del área metropolitana;Conductor;Nunca;;30;;;;;;Medellín;Comuna 16 - Belén;Medellín;Comuna 12 - La América;;Dos;Entre 11 y 15 km;A realizar compras;;;;;;;Muy satisfecho;La comodidad (confort);;La exposición a condiciones climáticas desfavorables (lluvia o calor);Exposición a condiciones climáticas desfavorables (lluvia o calor);;;Muy importante;Nada Importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Moto 2T;;Es el medio de transporte que utiliza;;Uso de aerosoles y productos químicos;Moderado;Bus, colectivo, busetas;;Moto 2T;;Inseguridad;;Nada influyente;Nada influyente;No;Si;Si;No;Si;No;No;No;;En el metro;;;No tomó ninguna acción;;;No;Mujer;No;62.340.026;-756.110.303;1.593.599.976;11.199
12;5.013.326.201.142.850;Presencial en hogares;Femenino;Si;34;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Técnico profesional;No;Trabajar y estudiar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si, motocicleta;1;0;1;1;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;2022;Medellín;Conductor;Nunca;;30;;;;;;Medellín;Comuna 16 - Belén;Medellín;Comuna 14 - El Poblado;;Cuatro o más;Entre 11 y 15 km;Ir a estudiar;;;;;;;Muy satisfecho;El tiempo de viaje;El costo (sus posibilidades económicas o capacidad adquisitiva);El tiempo de viaje;Congestión de tráfico;Tiempos de espera largos o inciertos;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Metro;;Costos altos;;Nada influyente;Nada influyente;No;No;No;No;No;No;No;No;;;;;;;;Si;Mujer;No;62.338.407;-756.117.886;1.595.900.024;8.797
13;3.907.243.986;Presencial en hogares;Femenino;Si;72;65 - 80 años;No;Si;Si;Si;Antioquia;Tamesis;;;Ninguna de las anteriores;No;Básica primaria incompleta;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Metroplus;;;;;;;;;;;;5;5;25;5;;Medellín;Comuna 16 - Belén;Medellín;No sabe. ¿A dónde se dirige?;Centro;No salgo del hogar con frecuencia;Menos de 5 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Muy satisfecho;La comodidad (confort);;Nada me disgusta;Otro;;Ninguno;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Metroplús;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Bus, colectivo, busetas;;Metro;;Falta de información;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.342.106;-756.122.939;1.604.199.951;4.85
14;3.907.243.986;Presencial en hogares;Femenino;Si;52;45 - 54 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con sus hijos y otros familiares;Estrato 2;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;No;No;0;;1;0;Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver);;;;;;;;;;;60;;;;;;Medellín;Comuna 16 - Belén;Medellín;No sabe. ¿A dónde se dirige?;Centro;Uno;Entre 16 y 20 km;A realizar algún trámite personal;;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;La vulnerabilidad frente accidentes de tránsito;Tiempos de viaje largos o inciertos;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;4;4;Muy importante;4;Automóvil en plataforma (Ejemplo:Uber);;Es el medio de transporte que utiliza;;Uso de aerosoles y productos químicos;Alto;Camión pesado;;Automóviles, taxis;;Falta de información;;Muy influyente;Muy influyente;No;Si;Si;No;Si;No;No;No;;Mientras caminaba;En el bus del trabajo;;No tomó ninguna acción;;;Si;Mujer;No;62.342.601;-756.120.661;1.608.099.976;5.883
15;15.341.326.080.000.000;Presencial en hogares;Femenino;Si;56;55 - 64 años;No;Si;Si;Si;Antioquia;Caldas;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 1;Menos de 100 mil pesos;No;;Ninguna dificultad;;No;No;0;;1;0;Caminata;;;;;;;;;;;10;;;;;15;Medellín;Comuna 16 - Belén;Medellín;Comuna 16 - Belén;;Uno;Menos de 5 km;Ir a trabajar;;;;;;;Satisfecho;Condiciones de salud propias o de un familiar;;Nada me disgusta;Exposición a condiciones climáticas desfavorables (lluvia o calor);Ser víctima de robo o atraco;;Muy importante;4;4;3;2;4;Muy importante;Muy importante;4;Moto 4T;;Tiempos de viaje o espera asociados;;Uso de aerosoles y productos químicos;Bajo;Automóviles particulares;;Caminata;;Inseguridad;;Muy influyente;4;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.337.579;-756.124.843;1.608.099.976;4.818
16;5.013.326.201.142.850;Presencial en hogares;Femenino;Si;19;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar y estudiar;Trabajador independiente o por cuenta propia;De lunes a viernes;;;;;;;;;;;;Con su pareja;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;1;0;0;;Metro;;;;;;;;;;;;15;10;40;10;;Medellín;Comuna 16 - Belén;Medellín;Comuna 7 - Robledo;;Dos;Entre 16 y 20 km;Ir a trabajar;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);El tiempo de viaje;Nada me disgusta;Exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;4;Muy importante;Muy importante;4;Muy importante;Muy importante;3;3;2;Moto 2T;;Costos asociados;;Los vehículos que circulan en la ciudad;Nulo;Bus, colectivo, busetas;;Caminata;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada influyente;2;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.336.957;-75.612.519;1.608.099.976;4.96
17;4926.66;Presencial en hogares;Masculino;Si;65;65 - 80 años;No;Si;Si;Si;Antioquia;Turbo;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Secundaria completa;No;Es pensionado(a);;;;;;;;;;;;;;Con su pareja;Estrato 3;Entre 100 y 300 mil pesos;Si;Usted;Ninguna dificultad;;Sí, auto;Si, auto;1;0;0;;Metroplus;;;;;;;;;;;;5;5;20;5;;Medellín;Comuna 16 - Belén;Medellín;No sabe. ¿A dónde se dirige?;Centro;Uno;Menos de 5 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);El tiempo de viaje;Nada me disgusta;Costos altos;Tiempos de espera largos o inciertos;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Metroplús;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Bicicleta eléctrica;;Falta de información;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.336.235;-756.114.965;1593.5;6.787
18;5.013.326.201.142.850;Presencial en hogares;Femenino;Si;21;18 - 24 años;No;Si;Si;Si;Antioquia;Andes;;;Ninguna de las anteriores;Si;Secundaria completa;No;Trabajar;Empleado(a) doméstico;De lunes a domingo;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;No sabe/no responde;No;;Ninguna dificultad;;No;No;0;;0;;Moto en plataforma (Ejemplo: Didi, Picap, Uber, otras);;;;;;;;;;;15;;;;;;Medellín;Comuna 16 - Belén;Medellín;Comuna 13 - San Javier;;Dos;Más de 20 km;A realizar actividades recreativas y culturales (ir a cine, a un concierto, una presentación etc);;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;Nada me disgusta;Congestión de tráfico;;;Muy importante;Muy importante;Muy importante;Muy importante;4;4;4;Muy importante;4;Moto en plataforma (Ejemplo: Didi);;Es el medio de transporte que utiliza;;No sabe /no responde;Moderado;Automóviles particulares;;Moto 2T;;Costos altos;;Muy influyente;Muy influyente;No;Si;No;No;No;No;No;No;;En el metro;;;No tomó ninguna acción;;;No;Mujer;No;62.337.608;-756.111.409;1.593.300.049;6.401
19;4926.66;Presencial en hogares;Masculino;Si;48;45 - 54 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;Si;Básica primaria completa;Si;Trabajar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;;;;;Con su pareja, sus hijos y otros familiares;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, auto;No;0;;1;0;Metro;;;;;;;;;;;;5;10;60;5;;Medellín;Comuna 16 - Belén;Bello;No sabe. ¿A dónde se dirige?;Bello;Uno;Entre 11 y 15 km;Ir a trabajar;;;;;;;Satisfecho;La comodidad (confort);;El tiempo de espera;Tiempos de espera largos o inciertos;;;3;2;Muy importante;4;Muy importante;Nada Importante;2;Muy importante;3;Metro;;Es el medio de transporte que utiliza;;Empresas manufactureras;Moderado;Bus, colectivo, busetas;;Metro;;Falta de información;;4;4;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.338.359;-756.107.324;1.594.400.024;4.98
20;3.853.453.645;Presencial en hogares;Femenino;Si;29;25 - 34 años;No;Si;Si;Si;Antioquia;Ebejo;;;Ninguna de las anteriores;No;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Metro;;;;;;;;;;;;20;10;10;0;;Medellín;Comuna 13 - San Javier;Medellín;Comuna 13 - San Javier;;Dos;Entre 11 y 15 km;Ir a trabajar;;;;;;;Satisfecho;La comodidad (confort);;El tiempo de viaje;Multitud de personas;;;4;3;4;4;Muy importante;Muy importante;3;4;4;Metro;;Es el medio de transporte que utiliza;;Empresas manufactureras;Bajo;Bus, colectivo, busetas;;Caminata;;Costos altos;;4;4;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.568.931;-756.149.322;1.560.800.049;21.46
21;3.853.453.645;Presencial en hogares;Femenino;Si;43;35 - 44 años;No;Si;Si;Si;Antioquia;Medellín;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Técnico profesional;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a domingo;;;;;;;;;;;;Con su pareja y otros familiares;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Metro;;;;;;;;;;;;30;15;90;10;;Medellín;Comuna 13 - San Javier;Envigado;Comuna 13 - San Javier;;Uno;Más de 20 km;Ir a trabajar;;;;;;;Muy satisfecho;El tiempo de viaje;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Congestión de tráfico;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Taxi;;Costos asociados;;Empresas manufactureras;Moderado;Automóviles de plataformas y taxis;;Caminata;;Inseguridad;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;Si;Mujer;No;62.565.424;-756.149.762;1.560.900.024;18.107
22;488.465.955;Presencial en hogares;Femenino;Si;38;35 - 44 años;No;Si;Si;Si;Antioquia;Sonsón;;;Ninguna de las anteriores;No;Técnico profesional;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con sus hijos y otros familiares;Estrato 3;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Metro;;;;;;;;;;;;8;5;20;10;;Medellín;Comuna 13 - San Javier;Medellín;Comuna 10 - La Candelaria;;Cuatro o más;Entre 6 y 10 km;A llevar y/o dejar algo;;;;;;;Muy satisfecho;El tiempo de viaje;;Otra razón;Esfuerzo físico agotador;;;Muy importante;4;Muy importante;Muy importante;4;4;Nada Importante;Nada Importante;Nada Importante;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Caminata;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada influyente;Nada influyente;No;No;No;No;No;No;No;No;;;;;;;;Si;Mujer;No;62.566.376;-756.163.495;1.569.400.024;72.9
